,section,byline,title,abstract,class,print_page,pub_date,type_of_material,class_le,byline_le,section_le,type_of_material_le,title_clean,abstract_clean,title_vec_avg,abstract_vec_avg,title_len,abstract_len,capital_letters,title_punct_num,abstract_punct_num,title_!,abstract_!,title_?,abstract_?,authors_num,coauthors,sections_grouped,title_ner,title_ner_type,ners_num,ner_GPE,ner_PERSON,ner_ORG,ner_MONEY,ner_NORP,pub_day_of_week,title_sentiment,abstract_sentiment,countries
0,Technology,Davey Alba and Stuart A. Thompson,‘I’ll Stand on the Side of Russia’: Pro-Putin Sentiment Spreads Online,"After marinating in conspiracy theories and Donald J. Trump’s Russia stance, some online discourse about Vladimir Putin has grown more complimentary.",top,0.0,,,1,182.0,23.0,-2.0,‘i’ll stand side russia’: pro-putin sentiment spreads online,"marinating conspiracy theories donald j. trump’s russia stance, online discourse vladimir putin grown complimentary.",-0.0070516593,-0.0020207819,11,21,9,2,3,0,0,0,0,1,0,3,"['Russia', 'Pro-Putin Sentiment Spreads Online']","['GPE', 'ORG']",2,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.0534,['Russia']
1,U.S.,"David E. Sanger, Julian E. Barnes and Kate Conger","As Tanks Rolled Into Ukraine, So Did Malware. Then Microsoft Entered the War.","After years of talks about the need for public-private partnerships to combat cyberattacks, the war in Ukraine is stress-testing the system.",top,11.0,2022-03-01 00:50:58+00:00,News,1,192.0,28.0,2.0,"tanks rolled ukraine, malware. microsoft entered war.","years talks need public-private partnerships combat cyberattacks, war ukraine stress-testing system.",-0.009731245,0.0016975915,13,21,12,3,4,0,0,0,0,2,1,6,['Microsoft'],['ORG'],1,0.0,0.0,1.0,0.0,0.0,1.0,-0.5994,-0.743,[]
2,World,"David D. Kirkpatrick, Maggie Astor and Catie Edmondson","Trump Praises Putin, Leaving Republicans in a Bind","G.O.P. leaders, while condemning Russia’s invasion of Ukraine, were silent on comments made by the former president. Some figures on the right amplified them.",top,0.0,,,1,188.0,30.0,-2.0,"trump praises putin, leaving republicans bind","g.o.p. leaders, condemning russia’s invasion ukraine, silent comments made former president. figures right amplified them.",-0.007341396,-0.010215333,8,24,6,1,7,0,0,0,0,2,1,5,"['Republicans', 'Bind']","['NORP', 'ORG']",2,0.0,0.0,0.0,0.0,1.0,-1.0,0.5267,0.0,[]
3,Movies,Alex Marshall,"Gérard Depardieu, Friend of Putin, Denounces ‘Fratricidal War’","“Stop the weapons and negotiate,” the French actor and staunch Russia ally told a news agency.",top,7.0,2022-03-01 16:06:52+00:00,News,1,18.0,12.0,2.0,"gérard depardieu, friend putin, denounces ‘fratricidal war’","“stop weapons negotiate,” french actor staunch russia ally told news agency.",-0.011108427,-0.016890297,8,16,7,2,2,0,0,0,0,1,0,1,['Gérard Depardieu'],['PERSON'],1,0.0,1.0,0.0,0.0,0.0,1.0,0.0772,-0.4404,[]
4,Health,Apoorva Mandavilli,New C.D.C. Guidelines Suggest 70 Percent of Americans Can Stop Wearing Masks,The agency issued a new set of recommendations intended to help communities live with the virus and get back to normal life.,top,0.0,,,1,76.0,10.0,-2.0,new c.d.c. guidelines suggest 70 percent americans stop wearing masks,agency issued new set recommendations intended help communities live virus get back normal life.,-0.0014030891,0.0047151684,12,22,12,3,1,0,0,0,0,1,0,2,"['New C.D.C. Guidelines Suggest', '70 Percent']","['ORG', 'PERCENT']",2,0.0,0.0,1.0,0.0,0.0,-1.0,-0.296,0.4019,[]
5,World,Ivan Nechepurenko and Dan Bilefsky,Thousands of Russians protest President Vladimir V. Putin’s assault on Ukraine. Some chant: ‘No to war!’,"At the demonstrations, many people said they felt depressed and broken by the news of Russian military action.",top,0.0,,,1,297.0,30.0,-2.0,thousands russians protest president vladimir v. putin’s assault ukraine. chant: ‘no war!’,"demonstrations, many people said felt depressed broken news russian military action.",-0.008535724,-0.02214899,16,18,9,4,2,1,0,0,0,1,0,5,"['Thousands', 'Russians', 'Vladimir V. Putin’s', 'Ukraine']","['CARDINAL', 'NORP', 'PERSON', 'GPE']",4,0.0,0.0,0.0,0.0,0.0,-1.0,-0.7263,-0.7506,['Ukraine']
6,World,Nick Cumming-Bruce,"Switzerland says it will freeze Russian assets, setting aside a tradition of neutrality.",The decision came amid mounting public anger at Russia’s invasion of Ukraine.,top,0.0,,,1,570.0,30.0,-2.0,"switzerland says freeze russian assets, setting aside tradition neutrality.",decision came amid mounting public anger russia’s invasion ukraine.,-0.0052566873,-0.018449053,13,12,2,2,1,0,0,0,0,1,0,5,"['Switzerland', 'Russian']","['GPE', 'NORP']",2,1.0,0.0,0.0,0.0,0.0,-1.0,0.2263,-0.5719,['Switzerland']
7,U.S.,Jonathan Weisman and Annie Karni,G.O.P. Leaders Condemn Lawmakers’ Appearance at White Nationalist Conference,The participation of Representatives Marjorie Taylor Greene and Paul Gosar at a far-right event renewed calls for Republican leaders to root out extremism in their party.,top,17.0,2022-03-01 00:06:44+00:00,News,1,376.0,28.0,2.0,g.o.p. leaders condemn lawmakers’ appearance white nationalist conference,participation representatives marjorie taylor greene paul gosar far-right event renewed calls republican leaders root extremism party.,-0.007321655,-0.00037865958,9,26,10,3,2,0,0,0,0,1,0,6,['G.O.P.'],['ORG'],1,0.0,0.0,1.0,0.0,0.0,1.0,-0.3818,0.4019,[]
8,U.S.,J. David Goodman and Amanda Morris,"Texas Investigates Parents Over Care for Transgender Youth, Suit Says","The investigations by the state’s Department of Family and Protective Services started last week with an employee of the agency, according to the suit, after Gov. Greg Abbott called for such inquiries.",top,17.0,2022-03-01 17:53:40+00:00,News,1,302.0,28.0,2.0,"texas investigates parents care transgender youth, suit says","investigations state’s department family protective services started last week employee agency, according suit, gov. greg abbott called inquiries.",-0.0012386377,-0.00079019746,10,32,9,1,4,0,0,0,0,1,0,6,"['Texas', 'Suit']","['GPE', 'ORG']",2,1.0,0.0,0.0,0.0,0.0,1.0,0.4939,0.0,['Texas']
9,Health,Apoorva Mandavilli and Noah Weiland,"Pfizer Shot Is Far Less Effective in 5- to 11-Year-Olds Than in Older Kids, New Data Show","While protection against hospitalization is still strong, the vaccine offered almost no protection against infection, even just a month after full vaccination.",top,0.0,,,1,77.0,10.0,-2.0,"pfizer shot far less effective 5- 11-year-olds older kids, new data show","protection hospitalization still strong, vaccine offered almost protection infection, even month full vaccination.",0.004625783,0.004859079,17,22,14,4,3,0,0,0,0,1,0,2,['11-Year-Olds'],['DATE'],1,0.0,0.0,0.0,0.0,0.0,-1.0,0.4228,0.3384,[]
10,U.S.,Adam Nagourney,A Kennedy’s Crusade Against Covid Vaccines Anguishes Family and Friends,Robert F. Kennedy Jr. has risen to become a major figure in the vaccine resistance movement. Those close to him say it’s “heartbreaking.”,top,0.0,,,1,6.0,28.0,-2.0,kennedy’s crusade covid vaccines anguishes family friends,robert f. kennedy jr. risen become major figure vaccine resistance movement. close say it’s “heartbreaking.”,-0.010382797,-0.009294561,10,23,9,0,4,0,0,0,0,1,0,6,"['Kennedy', 'Friends']","['PERSON', 'ORG']",2,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,[]
11,U.S.,Charlie Savage,Barr Rebukes Trump as ‘Off the Rails’ in New Memoir,William P. Barr’s memoir of his time as attorney general under George H.W. Bush and then again under Donald J. Trump defends his more recent leadership of the Justice Department.,top,0.0,,,1,142.0,28.0,-2.0,barr rebukes trump ‘off rails’ new memoir,william p. barr’s memoir time attorney general george h.w. bush donald j. trump defends recent leadership justice department.,-0.015977759,-0.0062283482,10,30,7,0,5,0,0,0,0,1,0,6,['Barr Rebukes'],['PERSON'],1,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.5267,[]
12,World,"Haley Willis, Ainara Tiefenthäler and Masha Froliak",Russian helicopters attack an airport near Kyiv.,"Footage verified by The Times shows the most intense fighting seen so far near Ukraine’s capital, Kyiv.",top,0.0,,,1,284.0,30.0,-2.0,russian helicopters attack airport near kyiv.,"footage verified times shows intense fighting seen far near ukraine’s capital, kyiv.",-0.0074637174,-0.00756554,7,17,2,1,2,0,0,0,0,2,1,5,"['Russian', 'Kyiv']","['NORP', 'GPE']",2,0.0,0.0,0.0,0.0,1.0,-1.0,-0.4767,-0.2927,['Kyiv']
