,section,byline,title,abstract,class,print_page,pub_date,type_of_material
0,Technology,By Davey Alba and Stuart A. Thompson,‘I’ll Stand on the Side of Russia’: Pro-Putin Sentiment Spreads Online,"After marinating in conspiracy theories and Donald J. Trump’s Russia stance, some online discourse about Vladimir Putin has grown more complimentary.",top,,,
1,U.S.,"By David E. Sanger, Julian E. Barnes and Kate Conger","As Tanks Rolled Into Ukraine, So Did Malware. Then Microsoft Entered the War.","After years of talks about the need for public-private partnerships to combat cyberattacks, the war in Ukraine is stress-testing the system.",top,11,2022-03-01T00:50:58+0000,News
2,World,"By David D. Kirkpatrick, Maggie Astor and Catie Edmondson","Trump Praises Putin, Leaving Republicans in a Bind","G.O.P. leaders, while condemning Russia’s invasion of Ukraine, were silent on comments made by the former president. Some figures on the right amplified them.",top,,,
3,Movies,By Alex Marshall,"Gérard Depardieu, Friend of Putin, Denounces ‘Fratricidal War’","“Stop the weapons and negotiate,” the French actor and staunch Russia ally told a news agency.",top,7,2022-03-01T16:06:52+0000,News
4,Health,By Apoorva Mandavilli,New C.D.C. Guidelines Suggest 70 Percent of Americans Can Stop Wearing Masks,The agency issued a new set of recommendations intended to help communities live with the virus and get back to normal life.,top,,,
5,World,By Ivan Nechepurenko and Dan Bilefsky,Thousands of Russians protest President Vladimir V. Putin’s assault on Ukraine. Some chant: ‘No to war!’,"At the demonstrations, many people said they felt depressed and broken by the news of Russian military action.",top,,,
6,World,By Nick Cumming-Bruce,"Switzerland says it will freeze Russian assets, setting aside a tradition of neutrality.",The decision came amid mounting public anger at Russia’s invasion of Ukraine.,top,,,
7,U.S.,By Jonathan Weisman and Annie Karni,G.O.P. Leaders Condemn Lawmakers’ Appearance at White Nationalist Conference,The participation of Representatives Marjorie Taylor Greene and Paul Gosar at a far-right event renewed calls for Republican leaders to root out extremism in their party.,top,17,2022-03-01T00:06:44+0000,News
8,U.S.,By J. David Goodman and Amanda Morris,"Texas Investigates Parents Over Care for Transgender Youth, Suit Says","The investigations by the state’s Department of Family and Protective Services started last week with an employee of the agency, according to the suit, after Gov. Greg Abbott called for such inquiries.",top,17,2022-03-01T17:53:40+0000,News
9,Health,By Apoorva Mandavilli and Noah Weiland,"Pfizer Shot Is Far Less Effective in 5- to 11-Year-Olds Than in Older Kids, New Data Show","While protection against hospitalization is still strong, the vaccine offered almost no protection against infection, even just a month after full vaccination.",top,,,
10,U.S.,By Adam Nagourney,A Kennedy’s Crusade Against Covid Vaccines Anguishes Family and Friends,Robert F. Kennedy Jr. has risen to become a major figure in the vaccine resistance movement. Those close to him say it’s “heartbreaking.”,top,,,
11,U.S.,By Charlie Savage,Barr Rebukes Trump as ‘Off the Rails’ in New Memoir,William P. Barr’s memoir of his time as attorney general under George H.W. Bush and then again under Donald J. Trump defends his more recent leadership of the Justice Department.,top,,,
12,World,"By Haley Willis, Ainara Tiefenthäler and Masha Froliak",Russian helicopters attack an airport near Kyiv.,"Footage verified by The Times shows the most intense fighting seen so far near Ukraine’s capital, Kyiv.",top,,,
13,Opinion,By Paul Krugman,Laundered Money Could Be Putin’s Achilles’ Heel,We can and should freeze oligarchs’ overseas assets.,top,,,
14,Sports,By Rory Smith and Tariq Panja,"Chelsea Is for Sale, Its Russian Owner Says","As British lawmakers take aim at wealthy Russians, Roman Abramovich confirmed he was seeking to sell the Premier League team he has owned since 2003.",top,9,2022-03-02T15:50:01+0000,News
15,World,By Eric Schmitt and Julian E. Barnes,"Some Russian troops are surrendering or sabotaging vehicles rather than fighting, a Pentagon official says.","A significant number of the Russian troops are young conscripts who are poorly trained and ill-prepared for the all-out assault, a senior official said.",top,,2022-03-01T17:32:32+0000,News
16,Arts,By Ben Sisario,Neil Diamond Sells Entire Catalog to Universal Music,The musician behind ubiquitous hits like “Sweet Caroline” sold his songwriting rights and recordings in another major deal.,top,,,
